name,link,code,animal_proportion,animal_decile
"Riisijauhoseos, gluteeniton","Riisijauhoseos, gluteeniton",29499,0.00,0.0
Palsternakka keitinvesi suolaton,Palsternakka keitinvesi suolaton,29510,0.00,0.0
Juuriselleri keitinvesi suolaton,Juuriselleri keitinvesi suolaton,29511,0.00,0.0
Keksi teollinen keskiarvo,Keksi teollinen keskiarvo,29750,0.00,0.0
Suklaakeksi teollinen,Suklaakeksi teollinen,29756,0.10,0.1
Cookie-keksi suklainen,Cookie-keksi suklainen,29757,0.10,0.1
Kaurakeksi,Kaurakeksi,29760,0.00,0.0
Vohvelikeksi,Vohvelikeksi,29761,0.00,0.0
Suolakeksi,Suolakeksi,29769,0.00,0.0
Voileipäkeksi vesikeksi,Voileipäkeksi vesikeksi,29770,0.00,0.0
Ruisnäkkileipä,Ruisnäkkileipä,29771,0.00,0.0
Hapankorppu,Hapankorppu,29772,0.00,0.0
Weetabix muroke,Weetabix muroke,29776,0.00,0.0
Neljänviljanmuro cheerios,Neljänviljanmuro cheerios,29779,0.00,0.0
Riisimuro,Riisimuro,29783,0.00,0.0
"Mysli, muromysli","Mysli, muromysli",29786,0.00,0.0
Kauraleipä veteen,Kauraleipä veteen,29787,0.00,0.0
"Paahtoleipä, vehnä, veteen","Paahtoleipä, vehnä, veteen",29795,0.00,0.0
Grahampaahtoleipä veteen,Grahampaahtoleipä veteen,29796,0.00,0.0
"Vaalea leipä, perunarieska, teollinen","Vaalea leipä, perunarieska, teollinen",29801,0.00,0.0
"Paahtoleipä, monivilja","Paahtoleipä, monivilja",29806,0.00,0.0
"Sekaleipä, sämpylä, monivilja","Sekaleipä, sämpylä, monivilja",29807,0.00,0.0
"Maissijauho, karkea, polentajauho","Maissijauho, karkea, polentajauho",29822,0.00,0.0
"Maissijauho, hienoksi jauhettu","Maissijauho, hienoksi jauhettu",29823,0.00,0.0
Täysksylitolipastilli,Täysksylitolipastilli,30051,0.00,0.0
Soijavanukas,Soijavanukas,30185,0.00,0.0
"Maissinaksu, suolaton","Maissinaksu, suolaton",30187,0.00,0.0
Pinaattiohukainen teollinen,Pinaattiohukainen teollinen,30189,0.15,0.2
Kaurajauho,Kaurajauho,30190,0.00,0.0
"Wienerleipä veteen, leipomo","Wienerleipä veteen, leipomo",30206,0.75,0.8
"Kaurajuoma maidoton, lisätty kalsiumia","Kaurajuoma maidoton, lisätty kalsiumia",30208,0.00,0.0
"Kaurajuoma maidoton, lisätty kalsiumia ja vitamiineja","Kaurajuoma maidoton, lisätty kalsiumia ja vitamiineja",30209,0.00,0.0
"Kaurajuoma maidoton, oat drink","Kaurajuoma maidoton, oat drink",30210,0.00,0.0
Vesikastanja,Vesikastanja,30214,0.00,0.0
"Bataatti, kuorittu","Bataatti, kuorittu",30223,0.00,0.0
"Nakki, keskiarvo","Nakki, keskiarvo",30317,1.00,1.0
Lenkkimakkara keskiarvo,Lenkkimakkara keskiarvo,30318,1.00,1.0
Moniviljapasta keitinvedessä suolaa,Moniviljapasta keitinvedessä suolaa,30362,0.00,0.0
Siskonmakkara,Siskonmakkara,30369,1.00,1.0
"Maksamakkara tai -pasteija, keskiarvo","Maksamakkara tai -pasteija, keskiarvo",30372,1.00,1.0
"Mehujuoma, kevyt, osittain keinotekoisesti makeutettu","Mehujuoma, kevyt, osittain keinotekoisesti makeutettu",30390,0.00,0.0
Mehujuoma,Mehujuoma,30392,0.00,0.0
"Mehujuoma, tiiviste, keskiarvo","Mehujuoma, tiiviste, keskiarvo",30394,0.00,0.0
"Mehujuoma, sokeriton, keinotekoisesti makeutettu","Mehujuoma, sokeriton, keinotekoisesti makeutettu",30396,0.00,0.0
"Maitojuoma, laktoositon, rasvaton","Maitojuoma, laktoositon, rasvaton",30423,0.00,0.0
"Tomaatti, aurinkokuivattu, öljyssä","Tomaatti, aurinkokuivattu, öljyssä",30444,0.00,0.0
"Kermaviili vähälaktoosinen, 3,5% rasvaa","Kermaviili vähälaktoosinen, 3,5% rasvaa",30455,1.00,1.0
"Marja-/hedelmäjogurtti rasvaa 2 %, vähälaktoosinen","Marja-/hedelmäjogurtti rasvaa 2 %, vähälaktoosinen",30456,1.00,1.0
"Marja-/hedelmäjogurtti rasvaa 1,5 %, vähälaktoosinen","Marja-/hedelmäjogurtti rasvaa 1,5 %, vähälaktoosinen",30462,1.00,1.0
"Grillimakkara, keskiarvo","Grillimakkara, keskiarvo",30572,1.00,1.0
"Grillimakkara, lihaisa, keskiarvo","Grillimakkara, lihaisa, keskiarvo",30573,1.00,1.0
"Bataatti, kuorittu, keitetty, suolaton","Bataatti, kuorittu, keitetty, suolaton",30602,0.00,0.0
Kasvirasvalevite 70% keiju laktoositon,Kasvirasvalevite 70% keiju laktoositon,30617,0.00,0.0
Margariini 60% keiju normaalisuolainen,Margariini 60% keiju normaalisuolainen,30619,0.00,0.0
Margariini 80 % laktoositon,Margariini 80 % laktoositon,30632,0.00,0.0
Tomaattikastike,Tomaattikastike,30728,0.00,0.0
Sipulikeitto,Sipulikeitto,30732,0.00,0.0
Salaattifenkoli,Salaattifenkoli,30914,0.00,0.0
"Maissipuuro, polenta","Maissipuuro, polenta",30924,0.00,0.0
Majoneesi 80 % rasvaa,Majoneesi 80 % rasvaa,30925,0.05,0.1
"Pinjansiemen, kuivattu","Pinjansiemen, kuivattu",30968,0.00,0.0
"Kvinoa, keitetty, suolaa","Kvinoa, keitetty, suolaa",31180,0.00,0.0
Kurpitsansiemen,Kurpitsansiemen,31211,0.00,0.0
"Pähkinä, pistaasipähkinä","Pähkinä, pistaasipähkinä",31212,0.00,0.0
"Papu, kidneypapu, keitetty","Papu, kidneypapu, keitetty",31214,0.00,0.0
"Linssi, punainen, kuivattu","Linssi, punainen, kuivattu",31219,0.00,0.0
"Linssi, punainen, keitetty","Linssi, punainen, keitetty",31225,0.00,0.0
Soijakerma,Soijakerma,31231,0.00,0.0
"Papu, härkäpapu, keitetty","Papu, härkäpapu, keitetty",31233,0.00,0.0
"Soijajuoma, soijamaito, ei lisättyä sokeria","Soijajuoma, soijamaito, ei lisättyä sokeria",31247,0.00,0.0
Riisikakku,Riisikakku,31252,0.00,0.0
"Kermavaahto sokeroimaton, kotitekoinen","Kermavaahto sokeroimaton, kotitekoinen",31258,1.00,1.0
"Jauheliha, broilerin, paistettu ilman rasvaa, suolaton","Jauheliha, broilerin, paistettu ilman rasvaa, suolaton",31489,1.00,1.0
"Jauheliha, naudan, rasvaa 17 %, paistettu ilman rasvaa, suolaton","Jauheliha, naudan, rasvaa 17 %, paistettu ilman rasvaa, suolaton",31490,0.00,0.0
"Jauho, jauhoseos, tumma, luontaisesti gluteeniton","Jauho, jauhoseos, tumma, luontaisesti gluteeniton",31532,0.00,0.0
"Jauho, jauhoseos, vaalea, luontaisesti gluteeniton","Jauho, jauhoseos, vaalea, luontaisesti gluteeniton",31544,0.00,0.0
"Ketsuppi, vähemmän suolaa ja sokeria, felix","Ketsuppi, vähemmän suolaa ja sokeria, felix",31545,0.00,0.0
"Kevytmaito, laktoositon maitojuoma, rasvaa 1,5 %, ei lisätty d-vitamiinia, luomu","Kevytmaito, laktoositon maitojuoma, rasvaa 1,5 %, ei lisätty d-vitamiinia, luomu",31553,1.00,1.0
"Chili, vihreä, tuore","Chili, vihreä, tuore",31557,0.00,0.0
"Keksi, lastenkeksi, carneval, lu, perinteinen","Keksi, lastenkeksi, carneval, lu, perinteinen",31613,0.00,0.0
"Keksi, paussi täysjyväkeksi, jyväshyvä, lu","Keksi, paussi täysjyväkeksi, jyväshyvä, lu",31616,0.00,0.0
"Keksi, digestive välipalakeksi","Keksi, digestive välipalakeksi",31619,0.00,0.0
"Keksi, välipalakeksi, elovena","Keksi, välipalakeksi, elovena",31623,0.00,0.0
"Keksi, leivoskeksi, jaffa appelsiini, lu","Keksi, leivoskeksi, jaffa appelsiini, lu",31646,0.00,0.0
"Keksi, tumma täytekeksi, keskiarvo","Keksi, tumma täytekeksi, keskiarvo",31650,0.10,0.1
"Keksi, suklaakuorrute, teollinen, keskiarvo","Keksi, suklaakuorrute, teollinen, keskiarvo",31651,0.10,0.1
"Kakku, muffini","Kakku, muffini",31655,0.50,0.5
"Karjalanpiirakka, perinteinen, saarioinen","Karjalanpiirakka, perinteinen, saarioinen",31782,0.67,0.7
"Ruisleipä, reissumies, oululainen, fazer","Ruisleipä, reissumies, oululainen, fazer",31811,0.00,0.0
"Ruisleipä, puikula ruis, fazer","Ruisleipä, puikula ruis, fazer",31815,0.00,0.0
"Ruisleipä, ruispalat, vaasan","Ruisleipä, ruispalat, vaasan",31820,0.00,0.0
"Ruisleipä, oululainen jälkiuunileipä, fazer","Ruisleipä, oululainen jälkiuunileipä, fazer",31821,0.00,0.0
"Sekaleipä, moniviljapatonki, fazer, ruiskuitua, siemeniä","Sekaleipä, moniviljapatonki, fazer, ruiskuitua, siemeniä",31831,0.00,0.0
"Sekaleipä, oululainen reilu vehnäleseviipaleet, fazer, vehnäjauho, -lese","Sekaleipä, oululainen reilu vehnäleseviipaleet, fazer, vehnäjauho, -lese",31838,0.00,0.0
"Paahtoleipä, moniviljaleipä, fazer alku","Paahtoleipä, moniviljaleipä, fazer alku",31840,0.00,0.0
"Vaalea leipä, maalaisleipä, fazer, vehnäjauho","Vaalea leipä, maalaisleipä, fazer, vehnäjauho",31842,0.00,0.0
"Paahtoleipä, täysjyväpaahto, fazer, täysjyvävehnäjauho, vehnäjauho","Paahtoleipä, täysjyväpaahto, fazer, täysjyvävehnäjauho, vehnäjauho",31847,0.00,0.0
"Paahtoleipä, vehnäpaahto, fazer, vehnäjauho, vehnäkuitu","Paahtoleipä, vehnäpaahto, fazer, vehnäjauho, vehnäkuitu",31848,0.00,0.0
"Paahtoleipä, arkipaahto vehnä, vaasan, vehnäjauho","Paahtoleipä, arkipaahto vehnä, vaasan, vehnäjauho",31856,0.00,0.0
"Sekaleipä, lapin pakarin ohrarieskaset, ohrarieska, vaasan","Sekaleipä, lapin pakarin ohrarieskaset, ohrarieska, vaasan",31867,0.00,0.0
"Sekaleipä, moniviljaviipaleet, viipaloitu, vaasan","Sekaleipä, moniviljaviipaleet, viipaloitu, vaasan",31868,0.00,0.0
"Ruisleipä, taikaruis 100 % vaalea ruisleipäviipale, vaasan","Ruisleipä, taikaruis 100 % vaalea ruisleipäviipale, vaasan",31880,0.00,0.0
"Sekaleipä, aittaleipä, viipaloitu, perheleipurit","Sekaleipä, aittaleipä, viipaloitu, perheleipurit",31881,0.00,0.0
"Piimä, rasvaton, laktoositon, d-vit 1 ug","Piimä, rasvaton, laktoositon, d-vit 1 ug",31900,1.00,1.0
"Vanukas, maitosuklaa-vaniljavanukas, paula","Vanukas, maitosuklaa-vaniljavanukas, paula",31918,1.00,1.0
"Vanukas, soijavanukas, kalsiumia ja vitamiineja","Vanukas, soijavanukas, kalsiumia ja vitamiineja",31936,0.00,0.0
"Vanukas, maitosuklaavanukas, jacky","Vanukas, maitosuklaavanukas, jacky",31938,1.00,1.0
"Lihapulla, lihapyörykkä, saarioinen","Lihapulla, lihapyörykkä, saarioinen",31939,0.50,0.5
"Ruoanvalmistuskerma, maustettu, kolmen juuston, rasvaa 10 % , vl","Ruoanvalmistuskerma, maustettu, kolmen juuston, rasvaa 10 % , vl",31959,1.00,1.0
"Kerma, kuohukerma, kasvirasvakerma, flora kuohu, rasvaa 26 %","Kerma, kuohukerma, kasvirasvakerma, flora kuohu, rasvaa 26 %",31966,0.60,0.6
"Jäätelö, kermajäätelö, laktoositon","Jäätelö, kermajäätelö, laktoositon",31968,1.00,1.0
"Jäätelö, kermajäätelö, maustettu, carte d'or mascarpone","Jäätelö, kermajäätelö, maustettu, carte d'or mascarpone",31990,1.00,1.0
"Jäätelö, kermajäätelö, maustettu, aino kermainen karamelli","Jäätelö, kermajäätelö, maustettu, aino kermainen karamelli",32001,1.00,1.0
"Soijajuoma, soijamaito, alpro kevyt, kalsiumia ja vitamiineja","Soijajuoma, soijamaito, alpro kevyt, kalsiumia ja vitamiineja",32008,0.00,0.0
"Mysli, muromysli, omena-kaneli, keskiarvo, pirkka/rainbow","Mysli, muromysli, omena-kaneli, keskiarvo, pirkka/rainbow",32065,0.00,0.0
"Muro, suklaamuro, nesquik kaakaomuro, nestle, vitaminoitu","Muro, suklaamuro, nesquik kaakaomuro, nestle, vitaminoitu",32093,0.00,0.0
"Muro, moniviljamuro, cheerios, nestle, maissi, kaura, ohra, vehnä, riisi","Muro, moniviljamuro, cheerios, nestle, maissi, kaura, ohra, vehnä, riisi",32095,0.00,0.0
"Muro, riisi-vehnähiutale, nestle fitness, aamiaishiutale, vitaminoitu","Muro, riisi-vehnähiutale, nestle fitness, aamiaishiutale, vitaminoitu",32098,0.00,0.0
"Nakkisämpylä, hot dog, atria/pirkka","Nakkisämpylä, hot dog, atria/pirkka",32110,0.43,0.4
"Lihapiirakka, grahamlihapiirakka, saarioinen","Lihapiirakka, grahamlihapiirakka, saarioinen",32114,0.14,0.1
"Herne, keitetty, suolaton","Herne, keitetty, suolaton",32147,0.00,0.0
"Kesäkurpitsa, keitetty, suolaton","Kesäkurpitsa, keitetty, suolaton",32149,0.00,0.0
"Jogurtti, soijajogurtti, maustettu, rasvaa 2 %, kalsiumia, vitaminoitu","Jogurtti, soijajogurtti, maustettu, rasvaa 2 %, kalsiumia, vitaminoitu",32172,0.00,0.0
"Kokolihaleikkele, ohut 100 % broilerinfilee, hk, rasvaa 1,9 %","Kokolihaleikkele, ohut 100 % broilerinfilee, hk, rasvaa 1,9 %",32198,1.00,1.0
